"ID","MonthlyIncome"
871,6019.51590620403
872,2194.06581222383
873,14394.0471408079
874,2194.06581222383
875,2305.3936655536
876,6687.48302618262
877,6075.17983286891
878,2027.07403222919
879,2472.38544554825
880,14672.3667741323
881,10902.580606817
882,2305.3936655536
883,5963.85197953915
884,5908.18805287427
885,6186.50768619868
886,5852.52412620938
887,6242.17161286356
888,6019.51590620403
889,6186.50768619868
890,2249.72973888872
891,6130.8437595338
892,9844.96600018423
893,9844.96600018423
894,5963.85197953915
895,10958.2445334819
896,10011.9577801789
897,9956.29385351399
898,14227.0553608133
899,6186.50768619868
900,2249.72973888872
901,2249.72973888872
902,6242.17161286356
903,6631.81909951774
904,2361.05759221848
905,14505.3749941377
906,5852.52412620938
907,10512.9331201628
908,6075.17983286891
909,2027.07403222919
910,1971.4101055643
911,18163.8333081232
912,2305.3936655536
913,2305.3936655536
914,10123.2856335086
915,6075.17983286891
916,5908.18805287427
917,2082.73795889407
918,5908.18805287427
919,1971.4101055643
920,2583.71329887801
921,2138.40188555895
922,1971.4101055643
923,6130.8437595338
924,6186.50768619868
925,15062.0142607865
926,2472.38544554825
927,6186.50768619868
928,10457.2691934979
929,1971.4101055643
930,2361.05759221848
931,6464.82731952309
932,9900.62992684911
933,9900.62992684911
934,2082.73795889407
935,1971.4101055643
936,2138.40188555895
937,10290.2774135033
938,10345.9413401682
939,6631.81909951774
940,1971.4101055643
941,2750.70507887266
942,9956.29385351399
943,10902.580606817
944,5852.52412620938
945,1915.74617889942
946,5963.85197953915
947,1971.4101055643
948,2082.73795889407
949,2361.05759221848
950,6075.17983286891
951,2472.38544554825
952,6075.17983286891
953,6075.17983286891
954,2249.72973888872
955,6130.8437595338
956,9844.96600018423
957,11403.5559468009
958,2472.38544554825
959,10512.9331201628
960,18998.7922080965
961,2249.72973888872
962,6130.8437595338
963,6353.49946619333
964,6297.83553952845
965,2027.07403222919
966,18386.4890147827
967,2194.06581222383
968,9900.62992684911
969,14839.358554127
970,2194.06581222383
971,6019.51590620403
972,6186.50768619868
973,2194.06581222383
974,1971.4101055643
975,5908.18805287427
976,2138.40188555895
977,6687.48302618262
978,2249.72973888872
979,10290.2774135033
980,18052.5054547934
981,2249.72973888872
